id,date_obs,best_poly,extra_poly,root,note
7ATN,05.01.2011,3.441751216733736e-20;-3.001260759935908e-16;1.1057752877315927e-12;-2.2450264625826986e-09;2.7424327893720194e-06;-0.0020597007076777595;0.9300388665777329;-230.37306063209738;23923.750015219488,2.4424906541753444e-15;-1.457167719820518e-16;0.0016271688533080395;-7.322259839886168e-05;1.9037875583704027e-06;-3.4658696575461176e-08;4.764699081525924e-10;-5.143887537520028e-12;4.462510580197288e-14;-3.154673614350954e-16;1.831743732862431e-18;-8.765332103469786e-21;3.454497966128111e-23;-1.1160824796871938e-25;2.9289472731931e-28;-6.150637593370285e-31;1.009757660211574e-33;-1.2495570473290579e-36;1.0969738529658999e-39;-6.094299183143889e-43;1.6122484611491775e-46,415.6076418094232,calib for SG
3C9T,05.01.2011,-7.74629765736542e-29;1.1017779481351377e-24;-6.750581196088669e-21;2.3649964470948862e-17;-5.278363811323571e-14;7.887065719584334e-11;-8.047051868578846e-08;5.596736835193886e-05;-0.02592900500845468;7.591332173142057;-1256.9933568236181;88448.69992109077,0.0;-2.862293735361732e-17;0.0009084880946985724;-3.893520405851023e-05;9.641098147821577e-07;-1.6715945506601513e-08;2.188592462850529e-10;-2.2502542336662958e-12;1.8592170022647206e-14;-1.2517452665332214e-16;6.922085187187176e-19;-3.15465086631075e-21;1.1840732464009431e-23;-3.643347691514002e-26;9.105977705454801e-29;-1.8211506298547123e-31;2.847433481843348e-34;-3.355855251440147e-37;2.805783189168579e-40;-1.4845413699304652e-43;3.740341068103969e-47,245.18643004297618,
DYKL,23.12.2020,4.681244628057172e-28;-6.062830122122619e-24;3.4945346965553745e-20;-1.1809002583659074e-16;2.594592495995482e-13;-3.8849194805384143e-10;4.03900461064719e-07;-0.0002912355774591107;0.14262386475769323;-45.16045216880639;8321.353669887509;-676199.8845125653,2.1094237467877974e-15;-1.196959198423997e-16;0.000741893174745782;-3.1795421774819155e-05;7.873152058526642e-07;-1.3650642152756808e-08;1.7872571142801737e-10;-1.8376115957289745e-12;1.518281210728641e-14;-1.0222052167557072e-16;5.652740839809155e-19;-2.576163584398244e-21;9.669426215160257e-24;-2.9752451367641207e-26;7.436159866580986e-29;-1.4871952977231586e-31;2.325282497425676e-34;-2.7404719126278486e-37;2.2912698691459095e-40;-1.2123121000772006e-43;3.054452255170574e-47,415.89995194557525,
KJ5B,18.08.2025,6.868319235979787e-28;-8.791250892788156e-24;5.0149916043531255e-20;-1.6799490545839844e-16;3.6652620481845105e-13;-5.459451980159689e-10;5.656497153476718e-07;-0.0004071593263902214;0.19935870129053732;-63.20040609840292;11672.708341735499;-951622.2500563493,5.551115123125783e-16;-2.5153490401663703e-17;0.0007613731427376011;-3.2246391927710144e-05;7.890881789369069e-07;-1.3520424906068268e-08;1.7493819987352146e-10;-1.7775085640922925e-12;1.4513446522432914e-14;-9.656434363791496e-17;5.277134157123676e-19;-2.3766917435986152e-21;8.815774741522188e-24;-2.680667167775708e-26;6.621085856830215e-29;-1.3086058744056548e-31;2.0219804162448187e-34;-2.354978453322249e-37;1.9457999461316098e-40;-1.0174117365394037e-43;2.533238061722761e-47,421.3964741151864,not clear
Q1SF,18.05.2025,-4.75099672703069e-26;4.873923857450353e-22;-2.085898957174946e-18;4.7823894084925185e-15;-6.166980063275386e-12;3.974905944230277e-09;-1.3482992267346015e-07;-0.0016861266481262125;1.1893565928995564;-350.6953883773619;39352.65341799606,2.220446049250313e-16;1.3877787807814457e-17;0.001599209701151881;-6.773123440172674e-05;1.6574231477128428e-06;-2.8398683194597128e-08;3.674451469799216e-10;-3.733529303852293e-12;3.04844539070153e-14;-2.0282648081840626e-16;1.108424196315609e-18;-4.992070615131224e-21;1.8516902814722524e-23;-5.630549200687665e-26;1.3907116156383285e-28;-2.748632821232971e-31;4.247024902364138e-34;-4.946463405597885e-37;4.087013286502162e-40;-2.1370004112429605e-43;5.320884933066817e-47,412.6922163571538,good
